Date|Category|Item|Amount|Regular ?|Remark
7/14/2015|Domestic|rubbish bin|$255.00 |N|友誠
7/25/2015|Domestic|厨紙|$34.90 |Y|
7/25/2015|Cook|茄汁|$18.90 |Y|
7/25/2015|Cook|生抽|$10.90 |Y|
7/25/2015|Domestic|即棄餐具|$19.80 |N|
7/25/2015|Domestic|厠紙|$50.00 |Y|
7/26/2015|Drive|泊車|$36.00 |N|睇冰河世紀 - Asia Expo
7/26/2015|Drive|Toll|$30.00 |N|睇冰河世紀 - 青嶼幹線
7/26/2015|Drive|泊車|$26.00 |N|食飯 - 新世紀廣場
7/26/2015|Jinny|奶粉|$299.00 |Y|
7/26/2015|Domestic|牙膏|$29.90 |Y|
7/20/2015|Bill|電|$2,105.00 |Y|
7/27/2015|Meal|Lunch|$49.00 |Y|新釗記
7/27/2015|Drive|水樽|$39.80 |N|x 2
7/27/2015|Cook|Bread|$10.80 |Y|
7/27/2015|Bill|Netvigator|$238.00 |Y|
7/28/2015|Meal|Breakfast|$12.00 |Y|
7/28/2015|Meal|Lunch|$45.00 |Y|榮式雞扒
7/29/2015|Meal|Lunch|$56.00 |Y|
7/29/2015|Meal|Breakfast|$13.00 |Y|Pert
7/29/2015|Cook|米|$88.90 |Y|金象 8 kg
7/29/2015|Cook|油|$79.90 |Y|刀嘜 x 3
7/29/2015|Cook|米粉|$11.50 |Y|
7/29/2015|Cook|麵|$8.80 |Y|出前一丁 x 2
7/30/2015|Meal|Lunch|$49.00 |Y|
7/31/2015|Meal|Lunch|$50.00 |Y|銳記
7/31/2015|Meal|Tea|$16.00 |Y|
8/1/2015|Meal|Lunch|$76.00 |Y|金利銀輝
7/30/2015|Bill|地租|$1,399.00 |Y|
8/1/2015|Cook|Bread|$10.80 |Y|
8/1/2015|Cook|drink|$14.40 |Y|維他檸檬茶
8/1/2015|Bill|Meifoo|$1,096.00 |Y|
7/31/2015|Bill|Park|$2,655.00 |Y|
8/2/2015|Meal|Breakfast|$50.60 |Y|McDonald
8/2/2015|Meal|Lunch|$82.00 |Y|燉奶佬
